RELATIONSHIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DEMERSAL-GANNET,0.3,0.1,0.1,0.2,0.2,0.3,0.5,0.1,0,0,0.1,0.1,0.4,0.3,0.3,0.4,0.7,0.3,0.3,0.3
Chla-HP,0.7,0.3,0.4,0.5,0.6,0.5,0.3,0.3,0.1,0.1,0,0,0.1,0.2,0.1,0.3,0.5,0.5,0.3,0.6
HP-PELAGICS,0.3,0.5,0.2,0.7,0.3,0.3,0.4,0.9,0.4,0.1,0,0.1,0.2,0,0.3,0.3,0,0.2,0.7,0.2
HP-SST,0.2,0.1,0.1,0.1,0.3,0.1,0.2,0.2,0.3,0.5,0.7,0,0,0.2,0.6,0.1,0.3,0.6,0.3,0.9
A6-Grey seal,0.3,0.5,0.1,0.1,0.2,0.4,0.3,0,0.3,0.5,0.2,0.2,0.2,0.3,0.2,0.5,0.3,0.5,0.2,0.1
BT-Grey seal,0.4,0.6,0.5,0.5,0.6,0.3,0.7,0.1,0,0.2,0.1,0,0.6,0.2,0,0,0.2,0.1,0.2,0.1
Grey seal-LARVAE,0,0.3,0.4,0.5,0.4,0.2,0.2,0.1,0.2,0.2,0.1,0.5,0.1,0.3,0.4,0.1,0.4,0.4,0.1,0.2
Chla-Harbour seal,0.4,0.4,0.3,0.3,0.5,0.3,0.6,0.6,0.7,0.5,0,0,0.3,0,0.4,0.2,0.2,0,0.4,0
Harbour seal-W,0.2,0.2,0.2,0.1,0,0,0.4,0.2,0.1,0,0.1,0.4,0.4,0.6,0.6,0.8,0.6,0.4,0.2,0.4
Catch_pel-HV,0.7,1,1,1,0.6,0.8,0.9,0.9,1,0.9,0.9,0.6,0.7,0.5,0,0,0.2,0.3,0,0.3
Chla-HV,1,0.3,0.1,0.7,0.4,0.4,0.2,0.2,0.2,0.4,0.5,0.5,0.6,1,1,1,0.9,0.9,1,1
GANN-HV,0.2,0,0.1,0.2,0,0.5,0.2,0.2,0.6,0.7,0.7,0.6,0.5,0.7,0.9,0.9,0.9,1,1,1
GUILL-HV,0.4,0.1,0.5,0.1,1,1,0.9,0.6,0.6,0.5,0.3,0.4,0.6,0.4,0.5,0.2,0.5,0.7,0,0.3
DEMERSAL-HV,0.4,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.9,0.9,0.9,0.7,0.7,0.3,0.3,0.4,0,0,0.1,0.1
